Study_ID	Data_ID	k	Country	n	Design	outcome_test_cat	Effect_size	SE	Outcome_age	quasi_age	cpiq_early_age	cpiq_age_diff	ses_funnel	published	Male_only	Achievement
3	6	1	USA	1404	Control Prior IQ	0	1.6	0.145	19	NA	NA	NA	1	0	0	0
4	7	1	Sweden	549	Control Prior IQ	0	3.47	0.23	20	NA	10	10	1	1	1	0
5	8	1	Sweden	142221	Policy Change	0	1.306122449	0.041649313	18.5	15.5	NA	NA	1	1	1	0
6	9	1	Norway	107223	Policy Change	0	3.692	0.914	19	15	NA	NA	1	1	1	0
7	10	2	USA	11427	Policy Change	1	4.95	0.459183673	68.5	10	NA	NA	1	1	0	0
7	10	2	USA	11427	Policy Change	1	2.85	0.535714286	68.5	10	NA	NA	1	1	0	0
8	11	2	USA	109	Control Prior IQ	2	1.893	0.348	61	NA	18	43	1	0	0	0
8	11	2	USA	109	Control Prior IQ	1	-0.165	0.521	61	NA	18	43	1	0	0	0
9	12	4	UK	2385	Policy Change	1	5.1	2.85	53.55	15.5	NA	NA	1	0	0	0
9	12	4	UK	2057	Policy Change	1	4.65	4.05	53.55	15.5	NA	NA	1	0	0	0
9	12	4	UK	1963	Policy Change	1	0.15	1.5	53.55	15.5	NA	NA	1	0	0	1
9	12	4	UK	1701	Policy Change	1	0.75	1.95	53.55	15.5	NA	NA	1	0	0	0
10	13	2	UK	1860	Policy Change	1	2.61	4.635	71	14.5	NA	NA	1	1	1	0
10	13	2	UK	1860	Policy Change	1	3.54	4.635	71	14.5	NA	NA	1	1	1	0
10	14	2	UK	2163	Policy Change	1	3.3	2.205	71	14.5	NA	NA	1	1	0	0
10	14	2	UK	2163	Policy Change	1	0.12	2.4	71	14.5	NA	NA	1	1	0	0
11	15	5	"Austria, Czechia, Denmark, France, Germany, Italy"	27699	Policy Change	1	2.16	0.99	60.81	13.5	NA	NA	1	1	0	0
11	15	5	"Austria, Czechia, Denmark, France, Germany, Italy"	27693	Policy Change	1	2.565	1.17	60.81	13.5	NA	NA	1	1	0	0
11	15	5	"Austria, Czechia, Denmark, France, Germany, Italy"	27555	Policy Change	1	-3.9	4.83	60.81	13.5	NA	NA	1	1	0	0
11	15	5	"Austria, Czechia, Denmark, France, Germany, Italy"	22368	Policy Change	1	-0.195	0.345	60.81	13.5	NA	NA	1	1	0	1
11	15	5	"Austria, Czechia, Denmark, France, Germany, Italy"	22467	Policy Change	1	-0.105	0.195	60.81	13.5	NA	NA	1	1	0	0
12	16	1	USA	930	Control Prior IQ	1	1.123	0.173	66.63	NA	20	NA	1	1	1	0
13	17	1	Palestine	1530	School Age Cutoff	2	2.4	3.15	11.5	NA	NA	NA	0	1	0	0
13	18	1	Israel	1400	School Age Cutoff	0	4.35	3	11.5	NA	NA	NA	0	1	0	0
13	19	1	Israel	1000	School Age Cutoff	0	0.3	3.15	11.5	NA	NA	NA	0	1	0	0
14	20	3	Cyprus	577	School Age Cutoff	0	9.194444444	0.5	14.82	NA	NA	NA	1	1	0	0
14	20	3	Cyprus	577	School Age Cutoff	1	10.1953125	1.2890625	14.82	NA	NA	NA	1	1	0	1
14	20	3	Cyprus	577	School Age Cutoff	1	10.78512397	1.363636364	14.82	NA	NA	NA	1	1	0	1
15	21	12	Israel	11099	School Age Cutoff	1	3.45	0.75	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	4.05	0.75	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	2	6	0.75	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	5.25	0.9	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	7.5	0.9	11	NA	NA	NA	1	1	0	1
15	21	12	Israel	11099	School Age Cutoff	1	6.15	0.75	11	NA	NA	NA	1	1	0	1
15	21	12	Israel	11099	School Age Cutoff	1	3.9	0.75	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	2.4	0.9	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	2.1	0.75	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	4.05	0.9	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	1.65	0.75	11	NA	NA	NA	1	1	0	0
15	21	12	Israel	11099	School Age Cutoff	1	3	1.05	11	NA	NA	NA	1	1	0	0
16	22	4	Sweden	128617	Policy Change	2	3.024	0.621	18	18	NA	NA	1	1	1	0
16	22	4	Sweden	128617	Policy Change	2	2.106	0.675	18	18	NA	NA	1	1	1	0
16	22	4	Sweden	128617	Policy Change	1	-0.297	0.783	18	18	NA	NA	1	1	1	0
16	22	4	Sweden	128617	Policy Change	1	-0.594	0.648	18	18	NA	NA	1	1	1	0
17	23	22	"USA, Bermuda"	22689	School Age Cutoff	1	1.95	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22690	School Age Cutoff	1	4.2	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22691	School Age Cutoff	1	3.15	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22692	School Age Cutoff	1	6.6	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22693	School Age Cutoff	1	3.9	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22694	School Age Cutoff	1	4.5	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22695	School Age Cutoff	1	1.95	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22696	School Age Cutoff	1	1.5	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22697	School Age Cutoff	1	-0.6	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22698	School Age Cutoff	2	5.7	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22699	School Age Cutoff	1	3.15	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22700	School Age Cutoff	1	8.7	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22701	School Age Cutoff	1	6.45	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22702	School Age Cutoff	1	6.3	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22703	School Age Cutoff	1	3.15	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22704	School Age Cutoff	1	8.55	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22705	School Age Cutoff	1	4.8	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22706	School Age Cutoff	1	12.45	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22707	School Age Cutoff	2	4.2	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22708	School Age Cutoff	2	5.1	0.45	10.5	NA	NA	NA	0	0	0	1
17	23	22	"USA, Bermuda"	22709	School Age Cutoff	1	5.1	0.45	10.5	NA	NA	NA	0	0	0	0
17	23	22	"USA, Bermuda"	22710	School Age Cutoff	2	6.15	0.45	10.5	NA	NA	NA	0	0	0	0
18	24	3	Israel	1690	School Age Cutoff	1	2.85	0.825	13.3	NA	NA	NA	0	1	0	0
18	24	3	Israel	1690	School Age Cutoff	1	2.25	0.825	13.3	NA	NA	NA	0	1	0	0
18	24	3	Israel	1690	School Age Cutoff	1	3.45	0.825	13.3	NA	NA	NA	0	1	0	0
19	25	5	China	NA	School Age Cutoff	1	4.01	1.29	8	NA	NA	NA	1	1	0	0
19	25	5	China	NA	School Age Cutoff	1	1.59	1.18	9	NA	NA	NA	1	1	0	0
19	25	5	China	NA	School Age Cutoff	1	3.43	1.22	10	NA	NA	NA	1	1	0	0
19	25	5	China	NA	School Age Cutoff	1	4.36	1.22	11	NA	NA	NA	1	1	0	0
19	25	5	China	NA	School Age Cutoff	1	2.35	1.28	12	NA	NA	NA	1	1	0	0
19	26	5	China	NA	School Age Cutoff	1	5.57	1.17	8	NA	NA	NA	1	1	0	0
19	26	5	China	NA	School Age Cutoff	1	8.61	1.19	9	NA	NA	NA	1	1	0	0
19	26	5	China	NA	School Age Cutoff	1	5.11	1.22	10	NA	NA	NA	1	1	0	0
19	26	5	China	NA	School Age Cutoff	1	4.5	1.25	11	NA	NA	NA	1	1	0	0
19	26	5	China	NA	School Age Cutoff	1	4.19	1.21	12	NA	NA	NA	1	1	0	0
20	27	14	Israel	1600	School Age Cutoff	1	2.7	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1601	School Age Cutoff	1	3.6	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1602	School Age Cutoff	1	0.9	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1603	School Age Cutoff	1	2.4	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1604	School Age Cutoff	1	3.15	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1605	School Age Cutoff	1	3.6	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1606	School Age Cutoff	1	4.95	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1607	School Age Cutoff	1	0.45	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1608	School Age Cutoff	1	4.65	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1609	School Age Cutoff	2	2.1	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1610	School Age Cutoff	1	8.7	3.3	8.5	NA	NA	NA	0	1	0	1
20	27	14	Israel	1611	School Age Cutoff	2	4.35	3.3	8.5	NA	NA	NA	0	1	0	0
20	27	14	Israel	1612	School Age Cutoff	1	5.1	3.3	8.5	NA	NA	NA	0	1	0	1
20	27	14	Israel	1613	School Age Cutoff	1	1.2	3.3	8.5	NA	NA	NA	0	1	0	1
21	28	2	Cyprus	6169	School Age Cutoff	1	7.441139646	1.088812461	10	NA	NA	NA	1	1	0	1
21	28	2	Cyprus	6169	School Age Cutoff	2	5.864668719	1.109750849	10	NA	NA	NA	1	1	0	1
21	29	2	England	5960	School Age Cutoff	1	3.687086775	0.786735076	10	NA	NA	NA	1	1	0	1
21	29	2	England	5960	School Age Cutoff	2	2.813065397	0.83293585	10	NA	NA	NA	1	1	0	1
21	30	2	Greece	5656	School Age Cutoff	1	7.71794599	0.914872386	10	NA	NA	NA	1	1	0	1
21	30	2	Greece	5656	School Age Cutoff	2	5.648627345	0.952056752	10	NA	NA	NA	1	1	0	1
21	31	2	Iceland	3373	School Age Cutoff	1	8.41998015	1.09040356	10	NA	NA	NA	1	1	0	1
21	31	2	Iceland	3373	School Age Cutoff	2	7.462932004	1.082080129	10	NA	NA	NA	1	1	0	1
21	32	2	Japan	8442	School Age Cutoff	1	6.267498291	0.726359316	10	NA	NA	NA	1	1	0	1
21	32	2	Japan	8442	School Age Cutoff	2	5.141370716	0.698544505	10	NA	NA	NA	1	1	0	1
21	33	2	Norway	4361	School Age Cutoff	1	11.9776132	1.041083419	10	NA	NA	NA	1	1	0	1
21	33	2	Norway	4361	School Age Cutoff	2	8.028434051	1.068526459	10	NA	NA	NA	1	1	0	1
21	34	2	Scotland	6076	School Age Cutoff	1	6.3579767	0.838590598	10	NA	NA	NA	1	1	0	1
21	34	2	Scotland	6076	School Age Cutoff	2	3.495870025	0.877157169	10	NA	NA	NA	1	1	0	1
21	35	2	Singapore	13598	School Age Cutoff	1	8.18729828	0.826955316	10	NA	NA	NA	1	1	0	1
21	35	2	Singapore	13598	School Age Cutoff	2	7.048695426	0.808841623	10	NA	NA	NA	1	1	0	1
22	36	1	UK	13078	Control Prior IQ	1	0.9155	0.05407	34	NA	10	24	1	0	0	1
23	37	1	England	6327	School Age Cutoff	1	2.563658918	0.346847971	15.71	NA	NA	NA	1	1	0	1
24	38	1	Germany	1219	Policy Change	2	-0.763157895	1.423684211	48.32	13.5	NA	NA	1	1	0	0
24	38	1	Germany	763	Policy Change	2	0.205263158	2.542105263	46.54	13.5	NA	NA	1	1	0	0
24	38	1	Germany	482	Policy Change	2	-0.518421053	1.739473684	47.54	13.5	NA	NA	1	1	0	0
25	39	1	Sweden	5599	School Age Cutoff	1	5.624505408	1.044579267	6.5	NA	NA	NA	1	1	0	1
25	39	1	Sweden	5714	School Age Cutoff	1	3.458688403	1.480177844	7.5	NA	NA	NA	1	1	0	1
26	40	3	Germany	3559	Policy Change	1	2.433333333	0.333333333	51	19	NA	NA	1	0	0	1
26	40	3	Germany	4116	Policy Change	1	4.633333333	0.333333333	51	19	NA	NA	1	0	0	1
26	40	3	Germany	2587	Policy Change	1	4.366666667	0.366666667	51	19	NA	NA	1	0	0	1
27	41	2	China	1525	Policy Change	1	3.57	1.71	19.5	10.5	NA	NA	1	0	0	1
27	41	2	China	1525	Policy Change	1	2.22	2.64	19.5	10.5	NA	NA	1	0	0	1
28	42	1	UK	8540	Policy Change	1	2.815604	0.4371505	54.5	15.5	NA	NA	1	1	0	0
