text,title
"Очень худая профессия у врачей. Главное -- пациет нынче пошел довольно грубоватый. Не стесняется. Чуть что не понял -- драться лезет, или вообще убивает врача каким-нибудь предметом.",НА ПОСТУ
"А врач, может, человек интеллигентный, не любит, может, чтобы его убивали. От этого, может, он нервничает.",НА ПОСТУ
"А только у нас в приемном покое привычки такой нет, чтобы врачей убивать. У нас, может, с начала революции бессменно на посту один врач стоит. Ни разу его не убили.",НА ПОСТУ
"Фельдшера, действительно, раз отвозили по морде, а врача пальцем не тронули. Он за ширмой был спрятавшись.",НА ПОСТУ
"А что один раз нашего врача шибко напугали, так в этом порока нету, Это случайно произошло, а к тому же врач у нас вообще был довольно пугливый интеллигент. Бывало, пациента трубкой ковырнет и отбежит в сторонку, этак шагов на сорок И оттуда разговаривает. Довольно осторожный был интеллигент.",НА ПОСТУ
"А когда Григорий Иванович Веревкин явился на прием, так врач уже был насторожившись нервно.",НА ПОСТУ
А приперся Григорий Иванович на прием по срочному делу. Надо ему было то-есть до полного зарезу в отпуск ехать. В деревню. Батька его требовал.,НА ПОСТУ
"Вот он приперся, разоблачился и стоит перед врачом, в чем мама родила. И думает: ""Хорошо бы, думает, этого интеллигента недельки на две опутать"".",НА ПОСТУ
"А врач, конечно, ковырнул его трубкой по брюху и отбежал за шкафик. И оттуда мямлит:",НА ПОСТУ
"-- Нету, -- мол, -- объективных болезней. Одевайтесь.",НА ПОСТУ
А Григорий Иванович расстроился и говорит ему с сердцем:,НА ПОСТУ
"-- Ты, говорит, дядя, хорошо меня слушай, а не ковыряй зря трубкой. Я, говорит, и сам ковырнуть могу.",НА ПОСТУ
"Врач, конечно, расстроился и снова стал слушать После отошел за шкафик и говорит:",НА ПОСТУ
"-- Ей-богу, говорит, вот вам крест -- ничего такого нету. Одевайтесь.",НА ПОСТУ
Стал Григорий Иванович одеваться. Одевается.,НА ПОСТУ
"И, конечно, у Григория Ивановича, у голубчика и в мыслях не было врача, например, убить или фельдшера стукнуть. А просто-напросто расстроился человек, что отпуск у него рухнул. И в расстройстве чувств даже сплюнул в сторону. Даже руку в карман сунул, хотел платок достать -- высморкаться для полного успокоения.",НА ПОСТУ
И только он руку в карман сунул -- крики.,НА ПОСТУ
"Врач, конечно, кричит -- убивают. Фельдшер махает рукой, народ кличет.",НА ПОСТУ
"Тут прибежал народ, схватил Григория Ивановича Веревкина, держит.",НА ПОСТУ
Веревкин говорит:,НА ПОСТУ
"-- Да что вы. братцы-сестрицы очумели, что ли?",НА ПОСТУ
"А фельдшер, зараза, отвечает:",НА ПОСТУ
"-- Он руку сейчас в карман сунул, хотел, может, нас, обоих медиков, зараз трахнуть.",НА ПОСТУ
"Стали Григория Ивановича обыскивать, а только ничего такого, кроме махорки, ие нашли.",НА ПОСТУ
"А что про платок Григорий Иванович говорил, будто он хотел в платок интеллигентно высморкаться, то врет. Платка у него тоже не нашли.",НА ПОСТУ
"Небось, просто так он сунул руку в карман.",НА ПОСТУ
А в этот момент и закричали.,НА ПОСТУ
Только напрасно закричали. У нас вообще привычки нет врачей убивать. Пущай живут. Жалко что ли?,НА ПОСТУ
На лестнице раздался резкий звонок.,ШИПЫ И РОЗЫ
Я бросился открывать дверь.,ШИПЫ И РОЗЫ
"Открыл. И вдруг в прихожую стремительно ворвался человек. Он явно был не в себе. Рот у него был открыт, усы висели книзу, глаза блуждали, и слюна тонкой струйкой текла по подбородку. Пиджак был порван и надет в один рукав.",ШИПЫ И РОЗЫ
-- Счетчик?!--дико захрипел человек. -- Скорей! Где?,ШИПЫ И РОЗЫ
"Я ахнул с испугу и ткнул пальцем под потолок. Человек вскочил на столик, раздавил ногой отличную дамскую шляпу и принялся за счетчик.",ШИПЫ И РОЗЫ
"-- Товарищ, -- испуганно спросил я, -- вы кто же, извиняюсь, будете? Контролер, что ли?",ШИПЫ И РОЗЫ
"-- Контролер, -- хрипло сказал человек. -- Чичас проверим, и дальше бежать надо...",ШИПЫ И РОЗЫ
"Контролер спрыгнул на пол, зашиб ногу об угол сундука и, охая, бросился к выходной двери.",ШИПЫ И РОЗЫ
"-- Товарищ. . . Братишечка, -- сказал я, -- вы бы присели отдохнуть... на вас лица нет. . .",ШИПЫ И РОЗЫ
"Контролер остановился, перевел дух и сказал:",ШИПЫ И РОЗЫ
-- Фу. .. Действительно. . . Запарившись я сегодня. .. Сто квартир,ШИПЫ И РОЗЫ
"все-таки... Раньше мы шестьдесят проверяли, а теперича восемьдесят надо... А если больше, твое счастье -- премия теперь идет... Вот догоню сегодня, ну, до полутораста, и будет... Мне много не надо. Я не жадный.",ШИПЫ И РОЗЫ
"-- Ну и ничего, поспеваете?--осторожно спросил я, поправляя помятую шляпу.",ШИПЫ И РОЗЫ
"-- Поспеваем, -- ответил контролер. -- Только что публика, конечно, не привыкши еще к повышению производительности. Пугается быстроте. .. Давеча вот в седьмой номер вбегаю -- думали, налетчик. Крик подняли. В девятом номере столик небольшой такой сломал -- опять крики и недовольство. В соседнем доме по нечаянности счетчик сорвал -- квартирант в морду полез. Не нравится ему, видите ли, что счетчик висит неинтересно. Некрасиво, говорит. .. Ах, гражданин, до чего публика не привыкши еще! Только что в вашей квартире тихо и благородно... Шляпенция-то еще держится. . . раздавил я ее, что ли?",ШИПЫ И РОЗЫ
"-- Раздавили, -- деликатно сказал я, подвязывая на шляпе сломанные перья.",ШИПЫ И РОЗЫ
"-- Да уж эти дамские моды, -- неопределенно сказал контролер, укоризненно покачивая головой.",ШИПЫ И РОЗЫ
Контролер потоптался у дверей и добавил:,ШИПЫ И РОЗЫ
"-- Беда с этим повышением. Всей душой рвешься, стараешься, а публика некультурная, обижается быстроте. . . Фу.. . Бежать надо. Прощайте вам.",ШИПЫ И РОЗЫ
"Контролер сорвался с места, ударил себя по коленям, гикнул и одним прыжком ринулся на лестницу.",ШИПЫ И РОЗЫ
Производительность повышалась.,ШИПЫ И РОЗЫ
"Жизнь штука хитрая. Иные полагают, что в жизни все просто и ясно, но это не так. Это совсем не так, дорогие товарищи!",ТРИ ДОКУМЕНТА
Вот возьмем для примеру конторщика Костю Печенкина.,ТРИ ДОКУМЕНТА
"В прошлом году, в эту пору, возвращаясь слегка под хмельком, Костя Печенкин был ограблен. С него сняли шубу, избили и после отпустили с миром.",ТРИ ДОКУМЕНТА
"Небось, простодушный читатель подумает, что Костя Печенкин нынче опустился, ходит в рваной, летней шинелишке, без галош и кашляет от хронического бронхита. Ничуть не бывало.",ТРИ ДОКУМЕНТА
"Нынче Костя Печенкин герой и молодец. Он ходит в новом зимнем пальто с бобровым воротником, в новых галошах на байке, и кашне у него новое в полоску. При этом Костя Печенкин любит поговорить о своем ночном приключении. И говорит не без гордости и щегольства.",ТРИ ДОКУМЕНТА
"Мало того: говорят, что Костя Печенкин на-днях женился на Лидочке Лыткиной. И это, говорят, произошло в связи с историей.",ТРИ ДОКУМЕНТА
С чего бы это так Костя возвеличился? -- удивится простодушный читатель.,ТРИ ДОКУМЕНТА
"С чего? Эх, дорогие товарищи! Костя Печенкин жить умеет -- вот с чего. Вот возьмем сейчас Костину историю, да копнем вглубь, да обернем медаль оборотной стороной! Ну-те-ка, чего получится?",ТРИ ДОКУМЕНТА
А вот чего:,ТРИ ДОКУМЕНТА
Заявление,ТРИ ДОКУМЕНТА
"Состоя во вверенной вам канцелярии, сообщаю, что, возвращаясь вчера после трудового дня, я был остановлен каким-то социально-опасным преступником, который, подойдя ближе, велел снять зимнее с барашковым воротником пальто. Удивившись наглому требованию, я удивленно посмотрел, заявив, что при мне нет казенных денег, а если бы они и были, то я не отдал бы и лучше смерть. Тогда взбешенный неудачей преступник снова велел снимать единственное пальто. Не растерявшись и сняв пальто, я остался в одном легоньком пиджаке, каждую минуту рискуя простудиться и тем самым манкировать в дальнейшем службой.",ТРИ ДОКУМЕНТА
"Сняв с меня еще и галоши государственной резиновой фабрики, -- и, так сказать, народное достояние, -- преступник обратился в бегство.",ТРИ ДОКУМЕНТА
"Закричав через полчаса о помощи, я был поднят прохожим и отвезен домой.",ТРИ ДОКУМЕНТА
"Оставшись в настоящее время совершенно раздетый вместе с моей престарелой матерью и не надеясь на бога, как на религиозный предрассудок,",ТРИ ДОКУМЕНТА
я обращаюсь с покорнейшей просьбой о выдаче мне из казенных сумм субсидии на предмет покупки зимнего пальто хотя бы без воротника.,ТРИ ДОКУМЕНТА
Конст. Печенкин.,ТРИ ДОКУМЕНТА
Письмо к матери,ТРИ ДОКУМЕНТА
"Ну и ну, дорогая мамаша, чего только происходит в Петрограде -- это ужасно. В прошлом году вы писали мне, что вы нездоровы и больны, так -- как теперь ваше самочувствие? Поздравляю вас, кроме того, с прошедшими праздниками. Мне эти празднички ударили по карману. Я, дорогая мамаша, возвращаясь после службы, был остановлен и ограблен преступниками. И избит ими до бесчувствия.",ТРИ ДОКУМЕНТА
"А один из преступников, сняв с меня галоши, ударил по лицу. Удар пришелся по рту, отчего хлынула кровь у вашего, так сказать, единоутробного сына. В настоящее времч, оставшись совершенно раздетый вместе со своей престарелой матерью и надеясь исключительно на милость и милосердие божие, я, дорогая мамаша, прошу вас прислать мне кое-что из теплого белья и нет ли еще шерстяных носков. За присланные же в прошлом году вязаные подштанники -- благодарю и спасибо.",ТРИ ДОКУМЕНТА
Ваш сын Конст. Печенкин.,ТРИ ДОКУМЕНТА
Письмо к девице,ТРИ ДОКУМЕНТА
"Здравствуйте, дорогая и милая Лидочка! Вчера, возвращаясь после вечера, проведенного с вами, я был остановлен какой-то бандой преступников, которые с дикими криками и ревом набросились на меня с требованием снимать верхнее платье.",ТРИ ДОКУМЕНТА
"Не растерявшись и сбросив с ноги галошу, я принялся избивать ею направо и налево, наводя буквально панику на грабителей, которые стали разбегаться как крысы.",ТРИ ДОКУМЕНТА
"Тогда, страшно распарившись и сбросив с себя шубу, я бросился в погоню за одним из бандитов, который скрылся в каком-то переулке.",ТРИ ДОКУМЕНТА
"Вернувшись назад, шубы уже не было. Светила луна, и мороз достигал  градусов.",ТРИ ДОКУМЕНТА
"Тогда, подняв воротник пиджака, я пустился к дому, благодаря провидение за то, что вас не было со мной. Впрочем, я сумел бы защитить вашу жизнь. Дорогая Лидочка, оставшись в настоящее время совершенно раздетый вместе со своей престарелой... Впрочем, что же это я? Да, так в настоящее время сижу дома, не имея возможности выйти. Зайдите, дорогая, навестите болящего.",ТРИ ДОКУМЕНТА
Костя Печенкин,ТРИ ДОКУМЕНТА
"Вот и все, дорогой читатель. А против Кости мы зла не имеем. Женится? Пожалуйста! Государству нужно новое здоровое поколение. Мы против Кости ничего не имеем и не хотим ему портить карьеры. Пусть его. Мы только хотели показать, какая в сущности жизнь хитрая штука.",ТРИ ДОКУМЕНТА
"Эх, товарищи, трудно жить человеку на свете!",ТРИ ДОКУМЕНТА
"Жил такой человек, Петр Петрович, с супругой своей, Катериной Васильевной. Жил он на Малой Охте. И жил хорошо. Богато. Хозяйство и гардероб, и сундуки полные добра... Было у него даже два самовара. А утюгов -- и не счесть -- штук пятнадцать.",НЕИЗВЕСТНЫЙ ДРУГ
"Но при всем таком богатстве жил человек скучновато. Сидел на своем добре, смотрел на свою супругу и никуда не показывался. Боялся из дома выходить. Сами знаете, какое нынче вороватое времечко. Даже в кинематограф не ходил.",НЕИЗВЕСТНЫЙ ДРУГ
"Ну, а однажды получил Петр Петрович письмо по почте. Письмо секретное. Без подписи. Пишет кто-то:",НЕИЗВЕСТНЫЙ ДРУГ
"""Эх ты, -- пишет, -- старый хрен, степа -- валеный сапог. Живешь ты с молодой супругой и не видишь, чего вокруг делается. Жена-то твоя, дурень старый, крутит с одним обывателем. Как я есть твой неизвестный друг и все такое, то сообщаю: ежели ты, старый хрен, придешь в Сад Трудящихся в  часов вечера в субботу,  июля, то глазами удостоверишься, какая есть твоя супруга гулящая бабочка. Протри глаза, старый хрен.",НЕИЗВЕСТНЫЙ ДРУГ
