title,words,n,n_text
A MIDSUMMER NIGHT’S DREAM,bethrothed,1,1
A MIDSUMMER NIGHT’S DREAM,blink,1,1
A MIDSUMMER NIGHT’S DREAM,bor’d,1,1
A MIDSUMMER NIGHT’S DREAM,brisky,1,1
A MIDSUMMER NIGHT’S DREAM,buskin’d,1,1
A MIDSUMMER NIGHT’S DREAM,cadmus,1,1
A MIDSUMMER NIGHT’S DREAM,cankerblossom,1,1
A MIDSUMMER NIGHT’S DREAM,cavalery,1,1
A MIDSUMMER NIGHT’S DREAM,cawing,1,1
A MIDSUMMER NIGHT’S DREAM,chanting,1,1
A MIDSUMMER NIGHT’S DREAM,chaplet,1,1
A MIDSUMMER NIGHT’S DREAM,charmèd,1,1
A MIDSUMMER NIGHT’S DREAM,charmeth,1,1
A MIDSUMMER NIGHT’S DREAM,childing,1,1
A MIDSUMMER NIGHT’S DREAM,churn,1,1
A MIDSUMMER NIGHT’S DREAM,commit’st,1,1
A MIDSUMMER NIGHT’S DREAM,condoling,1,1
A MIDSUMMER NIGHT’S DREAM,congealèd,1,1
A MIDSUMMER NIGHT’S DREAM,constraineth,1,1
A MIDSUMMER NIGHT’S DREAM,crannied,1,1
A MIDSUMMER NIGHT’S DREAM,crazèd,1,1
A MIDSUMMER NIGHT’S DREAM,crownèd,1,1
A MIDSUMMER NIGHT’S DREAM,cues,1,1
A MIDSUMMER NIGHT’S DREAM,damnèd,1,1
A MIDSUMMER NIGHT’S DREAM,deflower’d,1,1
A MIDSUMMER NIGHT’S DREAM,despisèd,1,1
A MIDSUMMER NIGHT’S DREAM,dewberries,1,1
A MIDSUMMER NIGHT’S DREAM,dewlap,1,1
A MIDSUMMER NIGHT’S DREAM,dewlap’d,1,1
A MIDSUMMER NIGHT’S DREAM,doubler,1,1
A MIDSUMMER NIGHT’S DREAM,driv’st,1,1
A MIDSUMMER NIGHT’S DREAM,drownèd,1,1
A MIDSUMMER NIGHT’S DREAM,earthlier,1,1
A MIDSUMMER NIGHT’S DREAM,embarkèd,1,1
A MIDSUMMER NIGHT’S DREAM,enamell’d,1,1
A MIDSUMMER NIGHT’S DREAM,engilds,1,1
A MIDSUMMER NIGHT’S DREAM,enrings,1,1
A MIDSUMMER NIGHT’S DREAM,enthrall’d,1,1
A MIDSUMMER NIGHT’S DREAM,enthrallèd,1,1
A MIDSUMMER NIGHT’S DREAM,entwist,1,1
A MIDSUMMER NIGHT’S DREAM,eyelid,1,1
A MIDSUMMER NIGHT’S DREAM,filch’d,1,1
A MIDSUMMER NIGHT’S DREAM,filly,1,1
A MIDSUMMER NIGHT’S DREAM,flew’d,1,1
A MIDSUMMER NIGHT’S DREAM,flouriets,1,1
A MIDSUMMER NIGHT’S DREAM,flower’s,1,1
A MIDSUMMER NIGHT’S DREAM,foal,1,1
A MIDSUMMER NIGHT’S DREAM,fowler,1,1
A MIDSUMMER NIGHT’S DREAM,freckles,1,1
A MIDSUMMER NIGHT’S DREAM,garlick,1,1
A MIDSUMMER NIGHT’S DREAM,gaud,1,1
A MIDSUMMER NIGHT’S DREAM,gleams,1,1
A MIDSUMMER NIGHT’S DREAM,goodfellow,1,1
A MIDSUMMER NIGHT’S DREAM,gossip’d,1,1
A MIDSUMMER NIGHT’S DREAM,gun’s,1,1
A MIDSUMMER NIGHT’S DREAM,handicraft,1,1
A MIDSUMMER NIGHT’S DREAM,heel’d,1,1
A MIDSUMMER NIGHT’S DREAM,henchman,1,1
A MIDSUMMER NIGHT’S DREAM,hind’ring,1,1
A MIDSUMMER NIGHT’S DREAM,hinders,1,1
A MIDSUMMER NIGHT’S DREAM,holla’d,1,1
A MIDSUMMER NIGHT’S DREAM,homespuns,1,1
A MIDSUMMER NIGHT’S DREAM,hoots,1,1
A MIDSUMMER NIGHT’S DREAM,imagining,1,1
A MIDSUMMER NIGHT’S DREAM,impaired,1,1
A MIDSUMMER NIGHT’S DREAM,interchainèd,1,1
A MIDSUMMER NIGHT’S DREAM,interchang’d,1,1
A MIDSUMMER NIGHT’S DREAM,jole,1,1
A MIDSUMMER NIGHT’S DREAM,knee’d,1,1
A MIDSUMMER NIGHT’S DREAM,knitteth,1,1
A MIDSUMMER NIGHT’S DREAM,lanthern,1,1
A MIDSUMMER NIGHT’S DREAM,limander,1,1
A MIDSUMMER NIGHT’S DREAM,loathèd,1,1
A MIDSUMMER NIGHT’S DREAM,loffe,1,1
A MIDSUMMER NIGHT’S DREAM,lovèd,1,1
A MIDSUMMER NIGHT’S DREAM,lull’d,1,1
A MIDSUMMER NIGHT’S DREAM,marred,1,1
A MIDSUMMER NIGHT’S DREAM,mazed,1,1
A MIDSUMMER NIGHT’S DREAM,mazes,1,1
A MIDSUMMER NIGHT’S DREAM,mechanicals,1,1
A MIDSUMMER NIGHT’S DREAM,merriments,1,1
A MIDSUMMER NIGHT’S DREAM,mimic,1,1
A MIDSUMMER NIGHT’S DREAM,minimus,1,1
A MIDSUMMER NIGHT’S DREAM,misgraffèd,1,1
A MIDSUMMER NIGHT’S DREAM,mispris’d,1,1
A MIDSUMMER NIGHT’S DREAM,mistak’st,1,1
A MIDSUMMER NIGHT’S DREAM,mistaketh,1,1
A MIDSUMMER NIGHT’S DREAM,mock’st,1,1
A MIDSUMMER NIGHT’S DREAM,momentany,1,1
A MIDSUMMER NIGHT’S DREAM,moonbeams,1,1
A MIDSUMMER NIGHT’S DREAM,moused,1,1
A MIDSUMMER NIGHT’S DREAM,mucic,1,1
A MIDSUMMER NIGHT’S DREAM,munch,1,1
A MIDSUMMER NIGHT’S DREAM,mural,1,1
A MIDSUMMER NIGHT’S DREAM,murrion,1,1
A MIDSUMMER NIGHT’S DREAM,neeze,1,1
A MIDSUMMER NIGHT’S DREAM,newts,1,1
A MIDSUMMER NIGHT’S DREAM,nole,1,1
A MIDSUMMER NIGHT’S DREAM,notably,1,1
A MIDSUMMER NIGHT’S DREAM,oes,1,1
A MIDSUMMER NIGHT’S DREAM,outsleep,1,1
A MIDSUMMER NIGHT’S DREAM,overcast,1,1
A MIDSUMMER NIGHT’S DREAM,overflown,1,1
A MIDSUMMER NIGHT’S DREAM,overwatch’d,1,1
A MIDSUMMER NIGHT’S DREAM,pairs,1,1
A MIDSUMMER NIGHT’S DREAM,pavèd,1,1
A MIDSUMMER NIGHT’S DREAM,perigenia,1,1
A MIDSUMMER NIGHT’S DREAM,phibbus,1,1
A MIDSUMMER NIGHT’S DREAM,phillida,1,1
A MIDSUMMER NIGHT’S DREAM,preferred,1,1
A MIDSUMMER NIGHT’S DREAM,prepost’rously,1,1
A MIDSUMMER NIGHT’S DREAM,pressed,1,1
A MIDSUMMER NIGHT’S DREAM,pressèd,1,1
A MIDSUMMER NIGHT’S DREAM,prevailment,1,1
A MIDSUMMER NIGHT’S DREAM,prospers,1,1
A MIDSUMMER NIGHT’S DREAM,quern,1,1
A MIDSUMMER NIGHT’S DREAM,renownèd,1,1
A MIDSUMMER NIGHT’S DREAM,reremice,1,1
A MIDSUMMER NIGHT’S DREAM,roundel,1,1
A MIDSUMMER NIGHT’S DREAM,rushy,1,1
A MIDSUMMER NIGHT’S DREAM,sanded,1,1
A MIDSUMMER NIGHT’S DREAM,schooling,1,1
A MIDSUMMER NIGHT’S DREAM,screeching,1,1
A MIDSUMMER NIGHT’S DREAM,seething,1,1
A MIDSUMMER NIGHT’S DREAM,shaping,1,1
A MIDSUMMER NIGHT’S DREAM,shiver,1,1
A MIDSUMMER NIGHT’S DREAM,shrewishness,1,1
A MIDSUMMER NIGHT’S DREAM,silently,1,1
A MIDSUMMER NIGHT’S DREAM,silliest,1,1
A MIDSUMMER NIGHT’S DREAM,skim,1,1
A MIDSUMMER NIGHT’S DREAM,slayeth,1,1
A MIDSUMMER NIGHT’S DREAM,slumber’d,1,1
A MIDSUMMER NIGHT’S DREAM,smartly,1,1
A MIDSUMMER NIGHT’S DREAM,sojourn’d,1,1
A MIDSUMMER NIGHT’S DREAM,solemnities,1,1
A MIDSUMMER NIGHT’S DREAM,sorting,1,1
A MIDSUMMER NIGHT’S DREAM,sphery,1,1
A MIDSUMMER NIGHT’S DREAM,spicèd,1,1
A MIDSUMMER NIGHT’S DREAM,squeezes,1,1
A MIDSUMMER NIGHT’S DREAM,squirrel’s,1,1
A MIDSUMMER NIGHT’S DREAM,starry,1,1
A MIDSUMMER NIGHT’S DREAM,statures,1,1
A MIDSUMMER NIGHT’S DREAM,streak,1,1
A MIDSUMMER NIGHT’S DREAM,superpraise,1,1
A MIDSUMMER NIGHT’S DREAM,taunted,1,1
A MIDSUMMER NIGHT’S DREAM,thessalian,1,1
A MIDSUMMER NIGHT’S DREAM,thronèd,1,1
A MIDSUMMER NIGHT’S DREAM,throttle,1,1
A MIDSUMMER NIGHT’S DREAM,thrum,1,1
A MIDSUMMER NIGHT’S DREAM,tipsy,1,1
A MIDSUMMER NIGHT’S DREAM,titania’s,1,1
A MIDSUMMER NIGHT’S DREAM,toil’d,1,1
A MIDSUMMER NIGHT’S DREAM,tongs,1,1
A MIDSUMMER NIGHT’S DREAM,transfigur’d,1,1
A MIDSUMMER NIGHT’S DREAM,transformèd,1,1
A MIDSUMMER NIGHT’S DREAM,turnèd,1,1
A MIDSUMMER NIGHT’S DREAM,unbreath’d,1,1
A MIDSUMMER NIGHT’S DREAM,unearnèd,1,1
A MIDSUMMER NIGHT’S DREAM,unharden’d,1,1
A MIDSUMMER NIGHT’S DREAM,unheedy,1,1
A MIDSUMMER NIGHT’S DREAM,unlov’d,1,1
A MIDSUMMER NIGHT’S DREAM,unwishèd,1,1
A MIDSUMMER NIGHT’S DREAM,usèd,1,1
A MIDSUMMER NIGHT’S DREAM,versing,1,1
A MIDSUMMER NIGHT’S DREAM,villagery,1,1
A MIDSUMMER NIGHT’S DREAM,vixen,1,1
A MIDSUMMER NIGHT’S DREAM,vot’ress,1,1
A MIDSUMMER NIGHT’S DREAM,votress,1,1
A MIDSUMMER NIGHT’S DREAM,wanes,1,1
A MIDSUMMER NIGHT’S DREAM,weaving,1,1
A MIDSUMMER NIGHT’S DREAM,willfully,1,1
A MIDSUMMER NIGHT’S DREAM,wisher’s,1,1
A MIDSUMMER NIGHT’S DREAM,wittiest,1,1
A MIDSUMMER NIGHT’S DREAM,wode,1,1
A MIDSUMMER NIGHT’S DREAM,wormy,1,1
A MIDSUMMER NIGHT’S DREAM,yielders,1,1
ALL’S WELL THAT ENDS WELL,bertram,32,1
ALL’S WELL THAT ENDS WELL,rossillon,32,1
ALL’S WELL THAT ENDS WELL,parolles,30,1
ALL’S WELL THAT ENDS WELL,lafew,19,1
ALL’S WELL THAT ENDS WELL,countess’s,14,1
ALL’S WELL THAT ENDS WELL,cargo,7,1
ALL’S WELL THAT ENDS WELL,dumaine,4,1
ALL’S WELL THAT ENDS WELL,boskos,3,1
ALL’S WELL THAT ENDS WELL,gerard,3,1
ALL’S WELL THAT ENDS WELL,narbon,3,1
ALL’S WELL THAT ENDS WELL,admiringly,2,1
ALL’S WELL THAT ENDS WELL,confidently,2,1
ALL’S WELL THAT ENDS WELL,d’ecu,2,1
ALL’S WELL THAT ENDS WELL,debauch’d,2,1
ALL’S WELL THAT ENDS WELL,dislik’st,2,1
ALL’S WELL THAT ENDS WELL,expertness,2,1
ALL’S WELL THAT ENDS WELL,florentines,2,1
ALL’S WELL THAT ENDS WELL,inner,2,1
ALL’S WELL THAT ENDS WELL,isbel,2,1
ALL’S WELL THAT ENDS WELL,isbels,2,1
ALL’S WELL THAT ENDS WELL,physician’s,2,1
ALL’S WELL THAT ENDS WELL,recantation,2,1
ALL’S WELL THAT ENDS WELL,rynaldo,2,1
ALL’S WELL THAT ENDS WELL,scores,2,1
ALL’S WELL THAT ENDS WELL,sighed,2,1
ALL’S WELL THAT ENDS WELL,spurio,2,1
ALL’S WELL THAT ENDS WELL,tuscan,2,1
ALL’S WELL THAT ENDS WELL,achieves,1,1
ALL’S WELL THAT ENDS WELL,acordo,1,1
ALL’S WELL THAT ENDS WELL,acutely,1,1
ALL’S WELL THAT ENDS WELL,addresses,1,1
ALL’S WELL THAT ENDS WELL,adoptious,1,1
ALL’S WELL THAT ENDS WELL,adversary’s,1,1
ALL’S WELL THAT ENDS WELL,allurement,1,1
ALL’S WELL THAT ENDS WELL,ames,1,1
ALL’S WELL THAT ENDS WELL,anatomized,1,1
ALL’S WELL THAT ENDS WELL,appeach’d,1,1
ALL’S WELL THAT ENDS WELL,applications,1,1
ALL’S WELL THAT ENDS WELL,appoints,1,1
ALL’S WELL THAT ENDS WELL,araise,1,1
ALL’S WELL THAT ENDS WELL,artists,1,1
ALL’S WELL THAT ENDS WELL,attributed,1,1
ALL’S WELL THAT ENDS WELL,bajazet’s,1,1
ALL’S WELL THAT ENDS WELL,bannerets,1,1
ALL’S WELL THAT ENDS WELL,baring,1,1
ALL’S WELL THAT ENDS WELL,bedclothes,1,1
ALL’S WELL THAT ENDS WELL,bentii,1,1
ALL’S WELL THAT ENDS WELL,bequeath’d,1,1
ALL’S WELL THAT ENDS WELL,bertram’s,1,1
ALL’S WELL THAT ENDS WELL,blowers,1,1
ALL’S WELL THAT ENDS WELL,boblibindo,1,1
ALL’S WELL THAT ENDS WELL,boggle,1,1
ALL’S WELL THAT ENDS WELL,bosko,1,1
ALL’S WELL THAT ENDS WELL,botcher’s,1,1
ALL’S WELL THAT ENDS WELL,brokes,1,1
ALL’S WELL THAT ENDS WELL,bunting,1,1
ALL’S WELL THAT ENDS WELL,buttering,1,1
ALL’S WELL THAT ENDS WELL,camping,1,1
ALL’S WELL THAT ENDS WELL,can’t,1,1
ALL’S WELL THAT ENDS WELL,caprichio,1,1
ALL’S WELL THAT ENDS WELL,captious,1,1
ALL’S WELL THAT ENDS WELL,carbonado’d,1,1
ALL’S WELL THAT ENDS WELL,casketed,1,1
ALL’S WELL THAT ENDS WELL,cassocks,1,1
ALL’S WELL THAT ENDS WELL,cesse,1,1
ALL’S WELL THAT ENDS WELL,challenges,1,1
ALL’S WELL THAT ENDS WELL,chape,1,1
ALL’S WELL THAT ENDS WELL,charbon,1,1
ALL’S WELL THAT ENDS WELL,chastity’s,1,1
ALL’S WELL THAT ENDS WELL,cherisher,1,1
ALL’S WELL THAT ENDS WELL,cherishes,1,1
ALL’S WELL THAT ENDS WELL,chicurmurco,1,1
ALL’S WELL THAT ENDS WELL,chimurcho,1,1
ALL’S WELL THAT ENDS WELL,chitopher,1,1
ALL’S WELL THAT ENDS WELL,christendoms,1,1
ALL’S WELL THAT ENDS WELL,clew,1,1
ALL’S WELL THAT ENDS WELL,coarsely,1,1
ALL’S WELL THAT ENDS WELL,coherent,1,1
ALL’S WELL THAT ENDS WELL,congied,1,1
ALL’S WELL THAT ENDS WELL,consolate,1,1
ALL’S WELL THAT ENDS WELL,constancies,1,1
ALL’S WELL THAT ENDS WELL,corambus,1,1
ALL’S WELL THAT ENDS WELL,corbo,1,1
ALL’S WELL THAT ENDS WELL,corrupts,1,1
ALL’S WELL THAT ENDS WELL,cosmo,1,1
ALL’S WELL THAT ENDS WELL,court’s,1,1
ALL’S WELL THAT ENDS WELL,credible,1,1
ALL’S WELL THAT ENDS WELL,curbed,1,1
ALL’S WELL THAT ENDS WELL,curvet,1,1
ALL’S WELL THAT ENDS WELL,damns,1,1
ALL’S WELL THAT ENDS WELL,deliv’red,1,1
ALL’S WELL THAT ENDS WELL,descents,1,1
ALL’S WELL THAT ENDS WELL,despatch’d,1,1
ALL’S WELL THAT ENDS WELL,detesting,1,1
ALL’S WELL THAT ENDS WELL,dilemmas,1,1
ALL’S WELL THAT ENDS WELL,discipled,1,1
ALL’S WELL THAT ENDS WELL,disdain’st,1,1
ALL’S WELL THAT ENDS WELL,diurnal,1,1
ALL’S WELL THAT ENDS WELL,doer’s,1,1
ALL’S WELL THAT ENDS WELL,doughy,1,1
ALL’S WELL THAT ENDS WELL,drily,1,1
ALL’S WELL THAT ENDS WELL,dropsied,1,1
ALL’S WELL THAT ENDS WELL,drum’s,1,1
ALL’S WELL THAT ENDS WELL,dulche,1,1
ALL’S WELL THAT ENDS WELL,eagerness,1,1
ALL’S WELL THAT ENDS WELL,emblem,1,1
ALL’S WELL THAT ENDS WELL,embodied,1,1
ALL’S WELL THAT ENDS WELL,empirics,1,1
ALL’S WELL THAT ENDS WELL,engrossest,1,1
ALL’S WELL THAT ENDS WELL,ennobled,1,1
ALL’S WELL THAT ENDS WELL,ensconcing,1,1
ALL’S WELL THAT ENDS WELL,enticements,1,1
ALL’S WELL THAT ENDS WELL,entrench’d,1,1
ALL’S WELL THAT ENDS WELL,enwombed,1,1
ALL’S WELL THAT ENDS WELL,examin’d,1,1
ALL’S WELL THAT ENDS WELL,exempted,1,1
ALL’S WELL THAT ENDS WELL,expressive,1,1
ALL’S WELL THAT ENDS WELL,facinerious,1,1
ALL’S WELL THAT ENDS WELL,fettering,1,1
ALL’S WELL THAT ENDS WELL,fine’s,1,1
ALL’S WELL THAT ENDS WELL,finisher,1,1
ALL’S WELL THAT ENDS WELL,fishpond,1,1
ALL’S WELL THAT ENDS WELL,fistula,1,1
ALL’S WELL THAT ENDS WELL,fleshes,1,1
ALL’S WELL THAT ENDS WELL,florence’s,1,1
ALL’S WELL THAT ENDS WELL,flow’ry,1,1
ALL’S WELL THAT ENDS WELL,fontybell,1,1
ALL’S WELL THAT ENDS WELL,forefinger,1,1
ALL’S WELL THAT ENDS WELL,forehorse,1,1
ALL’S WELL THAT ENDS WELL,gratii,1,1
ALL’S WELL THAT ENDS WELL,guess’d,1,1
ALL’S WELL THAT ENDS WELL,guiltian,1,1
ALL’S WELL THAT ENDS WELL,haggish,1,1
ALL’S WELL THAT ENDS WELL,hater,1,1
ALL’S WELL THAT ENDS WELL,heedfull’st,1,1
ALL’S WELL THAT ENDS WELL,hesperus,1,1
ALL’S WELL THAT ENDS WELL,honestest,1,1
ALL’S WELL THAT ENDS WELL,hop’st,1,1
ALL’S WELL THAT ENDS WELL,hugs,1,1
ALL’S WELL THAT ENDS WELL,idolatrous,1,1
ALL’S WELL THAT ENDS WELL,implies,1,1
ALL’S WELL THAT ENDS WELL,impositions,1,1
ALL’S WELL THAT ENDS WELL,inaidable,1,1
ALL’S WELL THAT ENDS WELL,incensing,1,1
ALL’S WELL THAT ENDS WELL,incurred,1,1
ALL’S WELL THAT ENDS WELL,infixing,1,1
ALL’S WELL THAT ENDS WELL,inteemable,1,1
ALL’S WELL THAT ENDS WELL,isbel’s,1,1
ALL’S WELL THAT ENDS WELL,jacet,1,1
ALL’S WELL THAT ENDS WELL,jowl,1,1
ALL’S WELL THAT ENDS WELL,kept’st,1,1
ALL’S WELL THAT ENDS WELL,kerelybonto,1,1
ALL’S WELL THAT ENDS WELL,kernal,1,1
ALL’S WELL THAT ENDS WELL,kicky,1,1
ALL’S WELL THAT ENDS WELL,labourers,1,1
ALL’S WELL THAT ENDS WELL,languishings,1,1
ALL’S WELL THAT ENDS WELL,lavache,1,1
ALL’S WELL THAT ENDS WELL,leaguer,1,1
ALL’S WELL THAT ENDS WELL,ling,1,1
ALL’S WELL THAT ENDS WELL,lings,1,1
ALL’S WELL THAT ENDS WELL,linsey,1,1
ALL’S WELL THAT ENDS WELL,linta,1,1
ALL’S WELL THAT ENDS WELL,loosing,1,1
ALL’S WELL THAT ENDS WELL,luckiest,1,1
ALL’S WELL THAT ENDS WELL,lustique,1,1
ALL’S WELL THAT ENDS WELL,manifoldly,1,1
ALL’S WELL THAT ENDS WELL,manka,1,1
ALL’S WELL THAT ENDS WELL,maudlin,1,1
ALL’S WELL THAT ENDS WELL,methink’st,1,1
ALL’S WELL THAT ENDS WELL,militarist,1,1
ALL’S WELL THAT ENDS WELL,ministration,1,1
ALL’S WELL THAT ENDS WELL,misprizing,1,1
ALL’S WELL THAT ENDS WELL,mites,1,1
ALL’S WELL THAT ENDS WELL,month’s,1,1
ALL’S WELL THAT ENDS WELL,mor,1,1
ALL’S WELL THAT ENDS WELL,mourningly,1,1
ALL’S WELL THAT ENDS WELL,movousus,1,1
ALL’S WELL THAT ENDS WELL,murk,1,1
ALL’S WELL THAT ENDS WELL,muskets,1,1
ALL’S WELL THAT ENDS WELL,muskos,1,1
ALL’S WELL THAT ENDS WELL,naturalize,1,1
ALL’S WELL THAT ENDS WELL,neatly,1,1
ALL’S WELL THAT ENDS WELL,nebuchadnezzar,1,1
ALL’S WELL THAT ENDS WELL,necessitied,1,1
